DATE-OBS,Target Flux,Target Flux Error,Rescaled Ref Fluxes,r,r error,TrES Norm,TrES Norm error
2460220.6441641552,53854.39,270.049,16052.679542435642,3.354853615412594,0.024526793541756638,0.9938149217614151,0.007265620560246561
2460220.644570648,54230.29,270.4823,15989.702180520026,3.3915759898309936,0.024804335849557872,1.0046932633653085,0.007347837467012863
2460220.644978287,54111.86,269.7514,16251.60069384786,3.3296326324633587,0.02410878922530518,0.9863436601000154,0.007141794314850442
2460220.6453844677,53952.29,270.214,15912.513710293748,3.3905573300526655,0.024885016698358322,1.0043915037644575,0.007371737714424523
2460220.645795764,53403.33,269.9184,16281.035469232816,3.280094199224568,0.023881450959376386,0.9716687920440101,0.00707444945070214
2460220.6461981367,54152.99,270.3174,15945.610951761646,3.3961063118762005,0.024873427663560387,1.0060352896248828,0.007368304671725405
2460220.646600509,54321.04,270.4592,16042.132571528242,3.3861483040234686,0.024702545630668402,1.0030854092636066,0.007317683949149379
2460220.6470082523,54179.32,270.6076,16207.751566327821,3.342802965499512,0.024295380304734063,0.99024513390375,0.007197068559351624
2460220.6474146643,53709.56,271.3063,15839.634005588705,3.3908333981106904,0.025116412662643615,1.0044732839512966,0.007440284598582332
2460220.6478170715,54614.83,270.3988,16247.353303043456,3.3614601086916442,0.02429238524686527,0.9957719763318659,0.007196181327435492
2460220.648222951,54099.6,270.7767,15883.856495804572,3.4059486758955178,0.025048714716004023,1.008950912584665,0.007420230301955515
2460220.6486253007,54465.35,270.7943,16206.939136929008,3.3606191483681003,0.024387284224057847,0.9955228569919615,0.007224293439141529
2460220.649035405,54021.2,270.9153,16149.614897451023,3.3450457080884597,0.024420315761570898,0.9909095059765958,0.0072340784368291715
2460220.64943912,54058.19,271.3372,16181.212198032634,3.3407997706483683,0.02439174294066236,0.989651723531054,0.007225614253579785
2460220.649847963,54074.27,270.0927,16109.361214208946,3.3566985854352094,0.024446484509746343,0.9943614608802172,0.007241830456858033
2460220.6502542016,53969.13,270.9776,16224.173472569422,3.3264640624834807,0.024231456316306996,0.9854050283480422,0.007178132229830281
2460220.650662338,53899.57,270.2256,16231.17235631528,3.3207441099612605,0.024143740460167446,0.9837105954993977,0.0071521479882806415
2460220.651071782,53410.93,270.1917,16115.45556686645,3.3142674607234466,0.024295372741229195,0.9817920048860893,0.007197066318799618
2460220.6514819562,53286.36,271.4098,15922.355104520668,3.346638085271127,0.024817595406597483,0.991381219018839,0.0073517653718196095
2460220.6518928357,53605.32,269.9911,15845.294518629662,3.3830434604402617,0.024949050883831907,1.0021656553081582,0.007390706687834906
2460220.6522994908,53103.25,270.7285,15883.665061769565,3.343261759391688,0.024802846239362582,0.990381043325837,0.007347396196838544
2460220.652708322,52373.61,270.4406,15998.43407226102,3.273671020766232,0.024330923418299066,0.9697660411854617,0.00720759756618056
2460220.6531195603,52334.82,271.473,15632.303728186753,3.3478635593316035,0.02528418412632892,0.9917442436235306,0.007489983871090145
2460220.653527685,52165.27,271.3664,15743.887788271157,3.313366476027729,0.0249669756164876,0.981525104407699,0.0073960165668412415
2460220.6539398613,51955.3,270.8725,15758.839786943512,3.296898801080897,0.024831997001887898,0.9766468524882437,0.007356031584876128
2460220.654352755,52108.84,270.2798,15753.09144080904,3.3078485068022823,0.024832765760156413,0.9798905054705425,0.00735625931565847
2460220.654764178,51112.32,270.6761,15634.00098259421,3.2693051546373084,0.02490386686651847,0.9684727320272308,0.007377321737020681
2460220.6551750926,52169.26,271.6024,15677.420960376956,3.3276685069471794,0.02514657100690072,0.9857618233136877,0.0074492184645491314
2460220.655587789,50929.42,270.8399,15744.504040094595,3.2347427311971404,0.02460545466856046,0.9582342369735946,0.007288922501416531
2460220.6560008796,51155.1,271.7165,15957.442571942574,3.2057204510918473,0.02423984032820282,0.949636909537407,0.007180615842256176
2460220.656404873,51659.73,271.8414,15938.624207818197,3.241166196431178,0.024425711010492204,0.9601370727842764,0.007235676682087915
2460220.6568158567,51156.99,271.8519,15599.538469889001,3.279391252423637,0.025105156058275433,0.9714605567228741,0.007436950032406906
2460220.657223241,51506.88,272.1083,15717.260665486612,3.2770901428837074,0.024928972173562953,0.9707788944927,0.007384758731780031
2460220.6576288077,51015.12,272.3567,15717.103707073493,3.245834662084759,0.02483724951529847,0.9615200215981812,0.007357587547312223
2460220.6580404053,51552.88,272.3089,15754.480570414178,3.2722678332418482,0.024878181516788497,0.9693503721698732,0.007369712915069393
2460220.658446736,50913.06,272.6121,15649.829171120846,3.2532661822246323,0.024990796192093618,0.9637214755073612,0.007403072983065619
2460220.6588596646,51462.91,272.5052,15669.419962305055,3.284289407253179,0.025072933177699007,0.9729115468156558,0.00742740458476297
2460220.659267905,51333.08,273.1232,15592.452331053837,3.292174887574634,0.025286631923825527,0.9752474782472734,0.007490708986983846
2460220.659669942,51077.47,273.0217,15474.028980464225,3.3008513855366752,0.025503343677679067,0.9778177343990455,0.007554905938442859
2460220.6600800115,51431.32,273.0481,15759.58974224594,3.2634935833469476,0.024894441071415828,0.9667511587696952,0.00737452951509498
2460220.660491412,51380.12,273.0936,15653.803509470485,3.2822770497224685,0.02514898223557908,0.9723154221642698,0.007449932747589478
2460220.660904109,51544.77,273.8102,15359.854204239888,3.3558111499373307,0.025985989950690864,0.9940985741075005,0.007697881198480447
2460220.6613064813,50704.52,273.4188,15622.7777572338,3.245550873724894,0.025083156518646663,0.9614359544110586,0.007430433065271734
2460220.661708669,51569.04,274.31,15630.129957180709,3.299335331265652,0.02535830710799706,0.9773686306438708,0.007511941468550976
2460220.6621423378,51221.85,273.7969,15589.370060017654,3.2856908138558865,0.025329186299591487,0.9733266882652939,0.007503314953881526
2460220.66254456,50486.7,274.2589,15767.447391684818,3.2019577263105288,0.024754532526403493,0.948522270133477,0.00733308413009326
2460220.662946678,51439.85,274.2029,15668.910550670207,3.2829244786134644,0.02522581982325081,0.9725072113051417,0.007472694498155732
2460220.6633487963,50378.01,274.8316,15516.819070780315,3.2466712262480852,0.025379852463273813,0.9617678386548495,0.007518323891757258
2460220.6637510415,50988.44,274.3539,15575.245543655677,3.2736845051389456,0.025352111412380265,0.9697700356878601,0.007510106105384495
2460220.6641528127,51278.69,274.6434,15491.853323492083,3.3100423125127456,0.025654592296705043,0.980540380875087,0.007599710615998167
2460220.664554919,51563.39,274.5611,15611.09335057519,3.302996711508368,0.025436831998973612,0.9784532485546902,0.007535203052312385
2460220.6649572686,50787.05,275.3519,15308.355173313901,3.3176033234801015,0.026073716915501678,0.9827801941082005,0.007723868730773745
2460220.665359456,50515.57,275.2024,15363.451671699599,3.288035207156782,0.025837208955106376,0.974021172529586,0.007653807509897704
2460220.6657615276,51640.05,274.6667,15472.79089155072,3.3374748202794664,0.025807491397333935,0.9886667669071494,0.007645004218983049
2460220.66616375,51457.11,275.6772,15448.096462528763,3.33096767778577,0.025927434920390274,0.9867391432163412,0.007680535326043696
2460220.6665658797,50801.23,274.6628,15541.58385914043,3.26872926597648,0.02542125120821514,0.9683021353902345,0.007530587523850137
2460220.6669681016,51464.93,275.549,15312.736235718392,3.3609231692996335,0.026263079930234537,0.9956129177138057,0.007779964111152391
2460220.6673703818,50519.76,276.5937,15456.051640424907,3.2686070915981458,0.0257301245453933,0.9682659434325026,0.007622085683415633
2460220.6677727313,50423.95,276.7036,15566.593673888943,3.239241099006779,0.025442250375248658,0.959566797366767,0.007536808148632868
2460220.6681749653,52232.78,276.1723,15444.919152118171,3.381874614269937,0.02618125061228649,1.0018194056953655,0.007755723650453682
2460220.6685771877,50942.38,276.0633,15332.155013450887,3.322584460912917,0.026118008817686087,0.984255766301674,0.007736989408558863
2460220.668979456,51343.08,275.2071,15405.915348617962,3.3326861038870956,0.025948258987054575,0.9872481959790596,0.007686704080497739
2460220.6693816204,50595.24,275.536,15379.438684436107,3.2897975692183135,0.02585622526974501,0.9745432405286932,0.0076594407503937905
2460220.669783507,51273.45,276.0405,15433.115668426339,3.322300635956302,0.025944432754885387,0.9841716882734236,0.007685570628174695
2460220.6701935185,50978.0,276.4136,15381.890715697733,3.314156948727717,0.026029881340536427,0.9817592676990224,0.007710883231703289
2460220.6705969907,51149.62,276.5073,15511.925894216756,3.297438393453768,0.025755970407930706,0.9768066970040712,0.00762974205439333
